Issuer,Cedent,Risks / Perils covered,Size,Date
Akibare II Ltd.,Mitsui Sumitomo Insurance Co. Ltd.,Japan typhoon (wind & flood losses),$130m,['Apr 2012']
Blue Danube Ltd. (Series 2012-1),Allianz Argos 14 GmbH,"U.S. hurricane, U.S. earthquake, Canada earthquake, Caribbean hurricane, Mexico hurricane",$240m,['Apr 2012']
Combine Re Ltd. (Series 2012-1),Swiss Re America,"U.S. hurricane, U.S. earthquake, U.S. severe thunderstorm, U.S. winter storm",$200m,['Mar 2012']
East Lane Re V Ltd. (Series 2012-1),Chubb Group,"U.S. hurricane, U.S. severe thunderstorm",$150m,['Mar 2012']
Mystic Re III Ltd. (Series 2012-1),Liberty Mutual,"U.S. hurricane, U.S. earthquake",$275m,['Mar 2012']
Queen Street V Re Ltd.,Munich Re,"U.S. hurricane, European windstorm",$75m,['Feb 2012']
Embarcadero Re Ltd. (Series 2012-1),California Earthquake Authority,California earthquake,$150m,['Jan 2012']
Kibou Ltd. (Series 2012-1),Hannover Re for Zenkyoren,Japan earthquake,$300m,['Jan 2012']
Ibis Re II Ltd. (Series 2012-1),Assurant,U.S. hurricane,$130m,['Jan 2012']
Successor X Ltd. (Series 2012-1),Swiss Re,"U.S. hurricane, European windstorm",$63m,['Jan 2012']
Vitality Re III Ltd. (Series 2012-1),Aetna Life Insurance Company,Medical benefit claims levels,$150m,['Jan 2012']
Loma Reinsurance Ltd. (Series 2011-2),Argo Re,"U.S. hurricane, U.S. earthquake",$100m,['Dec 2011']
Vecta I Ltd.,Aurigen Reinsurance,Embedded value securitization of life insurance mortality and lapse risk,$111m,['Dec 2011']
Tramline Re Ltd. (Series 2011-1),Amlin AG,"U.S. hurricane, U.S. earthquake, European windstorm",$150m,['Dec 2011']
Atlas VI Capital Ltd. (Series 2011-1),SCOR,"U.S. hurricane, U.S. earthquake, European windstorm",$337m,['Dec 2011']
Golden State Re Ltd. (Series 2011-1),California State Compensation Insurance Fund,Workers compensation claims resulting from California earthquakes,$200m,['Dec 2011']
Residential Reinsurance 2011 Ltd. (Series 2011-2),USAA,"U.S. hurricane, U.S. earthquake, U.S. severe thunderstorm, U.S. winter storm, U.S. wildfire",$150m,['Nov 2011']
Compass Re Ltd. (Series 2011-1),National Union Fire Insurance Co. of Pittsburgh,"U.S. hurricane, U.S. earthquake",$575m,['Nov 2011']
Successor X Ltd. (Series 2011-3),Swiss Re,"U.S. hurricane, European windstorm",$130m,['Nov 2011']
Queen Street IV Capital Ltd.,Munich Re,"U.S hurricane, European windstorm",$100m,['Oct 2011']
Calypso Capital Ltd. (Series 2011-1),AXA Global P&C,European windstorm,$243m,['Oct 2011']
Hoplon Insurance Ltd.,MyLotto24,Lottery jackpot risk,$101m,['Sep 2011']
Kizuna Re Ltd.,Tokio Marine,Japan typhoon,$160m,['Aug 2011']
Pylon II Capital Ltd.,EDF (via Natixis),European windstorm,$216m,['Aug 2011']
Embarcadero Re Ltd. (Series 2011-1),California Earthquake Authority,California earthquake,$150m,['Aug 2011']
Vita Capital IV Ltd. (Series V and VI),Swiss Re,Extreme mortality,$180m,['Jul 2011']
Queen Street III Capital Ltd.,Munich Re,European windstorm,$150m,['Jul 2011']
Oak Leaf Re Ltd. (Series 2011-1),Southern Oak Insurance Company,U.S. hurricane,$11.95m,['Jul 2011']
"Sector Re V Ltd. (Series 1, Class B)",Swiss Re,"U.S. hurricane, U.S. earthquake, Australia earthquake, Australia tropical cyclone, European windstorm, Japanese earthquake",$70m,['Jun 2011']
Loma Reinsurance Ltd. (Series 2011-1),Argo Re,"U.S. hurricane, U.S. earthquake, European windstorm, Japan earthquake",$100m,['Jun 2011']
Residential Reinsurance 2011 Ltd. (Series 2011-1),USAA,"U.S. hurricane, U.S. earthquake, U.S. severe thunderstorm, U.S. winter storm, U.S. wildfire",$250m,['May 2011']
Johnston Re Ltd. (Series 2011-1),North Carolina JUA / IUA,North Carolina hurricane,$202m,['May 2011']
Blue Fin Ltd. (Series 4),Allianz,"U.S. hurricane, U.S. earthquake",$40m,['Apr 2011']
Vitality Re II Ltd.,Aetna Life Insurance Company,Medical benefit claims levels,$150m,['Apr 2011']
"Sector Re V Ltd. (Series 1, Class A)",Swiss Re,"U.S. hurricane, U.S. earthquake, Australia earthquake, Australia tropical cyclone, European windstorm, Japanese earthquake,",$95m,['Mar 2011']
Queen Street II Capital Ltd.,Munich Re,"U.S. hurricane, European windstorm",$100m,['Mar 2011']
East Lane Re IV Ltd. (Series 2011-1),Chubb Group,"U.S. hurricane, U.S. earthquake, U.S. severe thunderstorm, U.S. winter storm",$475m,['Mar 2011']
Successor X Ltd. (Series 2011-2),Swiss Re,"U.S. hurricane, U.S. earthquake",$305m,['Feb 2011']
Foundation Re III Ltd. (Series 2011-1),Hartford Fire Insurance Co.,U.S. hurricane,$135m,['Feb 2011']
Green Fields Capital Ltd. (Series 2011-1),Groupama,European windstorm,$98m,['Dec 2010']
Successor X Ltd. (Series 2011-1),Swiss Re,"U.S. hurricane, U.S. earthquake, Australia earthquake",$170m,['Dec 2010']
Montana Re Ltd. (Series 2010-1),Flagstone Re,"U.S. hurricane, U.S. earthquake, European windstorm, Japan typhoon, Japan earthquake",$210m,['Dec 2010']
Mariah Re Ltd. (Series 2010-2),American Family Mutual Insurance Co.,U.S. severe thunderstorm,$100m,['Dec 2010']
Vega Capital Ltd. (Series 2010-I),Swiss Re,"U.S. hurricane, U.S. earthquake, European windstorm, Japan typhoon, Japan earthquake",$106.5m,['Dec 2010']
Kortis Capital Ltd.,Swiss Re,Longevity risk,$50m,['Dec 2010']
Lodestone Re Ltd. (Series 2010-2),Chartis,"U.S. hurricane, U.S. earthquake",$450m,['Dec 2010']
Vitality Re Ltd.,Aetna Life Insurance Company,Medical benefit claims levels,$150m,['Dec 2010']
Atlas VI Capital Ltd. (Series 2010-1),SCOR,"European windstorm, Japanese earthquake",$98m,['Dec 2010']
Residential Reinsurance 2010 Ltd. (Series 2010-II),USAA,"U.S. hurricane, U.S. earthquake, U.S. severe thunderstorm, U.S. winter storm, U.S. wildfire",$300m,['Dec 2010']
Mariah Re Ltd. (Series 2010-1),American Family Mutual Insurance Co.,U.S. severe thunderstorm,$100m,['Nov 2010']
Calypso Capital Ltd.,AXA Global P&C,European windstorm,$378m,['Oct 2010']
Vita Capital IV Ltd.,Swiss Re,Extreme mortality,$300m,['Oct 2010']
Green Valley Ltd. (Series 2),Groupama,European windstorm,$128m,['Sep 2010']
Shore Re Ltd.,Massachusetts Property Insurance Underwriting Association,U.S. hurricane,$96m,['Jul 2010']
Merna Reinsurance III Ltd.,State Farm,"U.S. / Canada hurricane, earthquake, severe thunderstorm, winter storm, wildfire",$250m,['Jun 2010']
Residential Reinsurance 2010 Ltd.,USAA,"U.S. hurricane, U.S. earthquake, U.S. severe thunderstorm, U.S. winter storm, U.S. wildfire",$405m,['May 2010']
Blue Fin Ltd. (Series 3),Allianz,"U.S. hurricane, U.S. earthquake",$150m,['May 2010']
EOS Wind Ltd.,Munich Re,"U.S. hurricane, European windstorm",$80m,['May 2010']
Caelus Re II Ltd.,Nationwide Mutual Insurance Co.,"U.S. hurricane, U.S. earthquake",$185m,['May 2010']
Lodestone Re Ltd. (Series 2010-1),Chartis,"U.S. hurricane, U.S. earthquake",$425m,['May 2010']
Johnston Re Ltd.,North Carolina JUA / IUA,North Carolina hurricane,$305m,['May 2010']
Ibis Re Ltd. (Series 2010-1),Assurant,U.S. hurricane,$150m,['May 2010']
Merna Reinsurance II Ltd.,State Farm,U.S. earthquake,$350m,['Apr 2010']
Successor X Ltd. (Series 2010-1),Swiss Re,"U.S. hurricane, U.S. earthquake, European windstorm, Japan earthquake",$120m,['Mar 2010']
Foundation Re III Ltd.,Hartford Fire Insurance Co.,U.S. hurricane,$180m,['Jan 2010']
Lakeside Re II Ltd.,Zurich American Insurance & Zurich Insurance Co. Ltd.,California earthquake,$225m,['Dec 2009']
Longpoint Re II Ltd.,Travelers,U.S. hurricane,$500m,['Dec 2009']
Redwood Capital XI Ltd.,Swiss Re,California earthquake,$150m,['Dec 2009']
Atlas VI Capital Ltd. (Series 2009-1),SCOR,"European windstorm, Japan earthquake",$113m,['Dec 2009']
Montana Re Ltd.,Flagstone Re,"U.S. hurricane, U.S. earthquake",$175m,['Nov 2009']
Successor X Ltd.,Swiss Re,"U.S. hurricane, U.S. earthquake, European windstorm",$150m,['Nov 2009']
MultiCat Mexico 2009 Ltd.,FONDEN (Fund for Natural Disasters),"Mexico hurricane, Mexico earthquake",$290m,['Oct 2009']
Eurus II Ltd.,Hannover Re,European windstorm,$211m,['Jul 2009']
Parkton Re Ltd,North Carolina JUA / IUA,North Carolina hurricane,$200m,['Jul 2009']
Calabash Re III Ltd.,ACE American Insurance Co.,"U.S. hurricane, U.S. earthquake",$100m,['Jun 2009']
Ianus Capital Ltd.,Munich Re,"European windstorm, Turkey earthquake",$71m,['Jun 2009']
Residential Reinsurance 2009 Ltd.,USAA,"U.S. hurricane, U.S. earthquake, U.S. severe thunderstorm, U.S. winter storm, U.S. wildfire",$250m,['May 2009']
Successor II Ltd. (Series 4),Swiss Re,"U.S. hurricane, U.S. earthquake",$60m,['Apr 2009']
Ibis Re Ltd. (Series 2009-1),Assurant,"U.S. hurricane, U.S. earthquake",$150m,['Apr 2009']
Blue Fin Ltd. (Series 2),Allianz,"U.S. hurricane, U.S. earthquake",$180m,['Apr 2009']
Mystic Re II Ltd. (Series 2009-1),Liberty Mutual,"U.S. hurricane, U.S. earthquake",$225m,['Mar 2009']
East Lane Re III Ltd.,Chubb Group,U.S. hurricane,$150m,['Feb 2009']
Atlas V Capital Ltd.,SCOR,"U.S. hurricane, U.S. earthquake",$200m,['Feb 2009']
Topiary Capital Ltd.,Platinum Underwriters Ltd.,"U.S. hurricane, European windstorm, U.S. earthquake, Japan earthquake",$200m,['Aug 2008']
Blue Coast Ltd.,Allianz Risk Transfer (Bermuda) Ltd.,U.S. hurricane,$120m,['Jul 2008']
Vega Capital Ltd. (Series 2008-1),Swiss Re,"U.S. hurricane, U.S. earthquake, European windstorm, Japan typhoon, Japan earthquake",$150m,['Jun 2008']
Caelus Re Ltd.,Nationwide Mutual Insurance Co.,"U.S. hurricane, U.S. earthquake",$250m,['Jun 2008']
Willow Re Ltd. (Series 2008-1),Allstate,U.S. hurricane,$250m,['Jun 2008']
Nelson Re Ltd. (Series 2008-1),Glacier Reinsurance,"U.S. hurricane, U.S. earthquake, European windstorm",$180m,['Jun 2008']
Valais Re Ltd.,Flagstone Re,"U.S. hurricane, U.S. earthquake, European windstorm, Japan typhoon, Japan earthquake",$104m,['May 2008']
Residential Reinsurance 2008 Ltd.,USAA,"U.S. hurricane, U.S. earthquake, U.S. severe thunderstorm, U.S. winter storm, U.S. wildfire",$350m,['May 2008']
Mangrove Re Ltd.,HomeWise Insurance Co.,U.S. hurricane,$210m,['May 2008']
Muteki Ltd.,Zenkyoren,Japan earthquake,$300m,['May 2008']
East Lane Re II Ltd.,Chubb Group,Multi peril - U.S. & Canada,$200m,['Mar 2008']
Queen Street Ltd.,Munich Re,European windstorm,$258m,['Mar 2008']
Nathan Ltd.,Munich Re,Extreme mortality,$100m,['Feb 2008']
Newton Re Ltd. (Series 2008-1),Catlin,"U.S. hurricane, U.S. earthquake, European windstorm, Japan typhoon, Japan earthquake",$150m,['Feb 2008']
Redwood Capital X Ltd.,Swiss Re,California earthquake,$498.6m,['Dec 2007']
Successor II Ltd. (Series 3),Swiss Re,"U.S. hurricane, U.S. earthquake, European windstorm, Japan earthquake",$100m,['Dec 2007']
Successor Hurricane Industry Ltd. (Series 6),Swiss Re,U.S. hurricane,$60m,['Dec 2007']
Green Valley Ltd.,Groupama,European windstorm,$295m,['Dec 2007']
Globecat Ltd.,Swiss Re,"U.S. hurricane, U.S. earthquake, Latin America earthquake",$85m,['Dec 2007']
Newton Re Ltd.,Catlin,"U.S. hurricane, U.S. earthquake",$225m,['Dec 2007']
Atlas Reinsurance IV plc,SCOR,"European windstorm, Japanese earthquake",$235m,['Nov 2007']
Blue Fin Ltd.,Allianz SE,European windstorm,$290.7m,['Nov 2007']
Midori Ltd.,East Japan Railway Company,Japan earthquake,$260m,['Oct 2007']
FCC SPARC 2007,AXA,Motor policies,$461.9m,['Jul 2007']
Javelin Re Ltd.,Arrow Capital Re,Worldwide all risks,$125.3m,['Jul 2007']
Merna Reinsurance Ltd.,State Farm,U.S. and Canada Multi-peril,$1.1bn,['Jul 2007']
Fusion 2007 Ltd.,Swiss Re,"Japan typhoon, Mexico earthquake",$140m,['Jun 2007']
Fremantle Ltd.,Brit Insurance,"U.S. hurricane, European windstorm, U.S. earthquake, Japan earthquake, Japan typhoon",$200m,['Jun 2007']
Spinnaker Capital Ltd.,Swiss Re,U.S. hurricane,$380.2m,['Jun 2007']
Willow Re Ltd.,Allstate,U.S. hurricane,$250m,['Jun 2007']
Nelson Re Ltd.,Glacier Reinsurance,"U.S. hurricane, U.S. earthquake, European windstorm",$75m,['Jun 2007']
Residential Reinsurance 2007 Ltd.,USAA,"U.S. hurricane, U.S. earthquake",$600m,['Jun 2007']
Gamut Re Ltd.,Nephila Capital,Multi peril,$310m,['Jun 2007']
Mystic Re II Ltd.,Liberty Mutual,U.S. hurricane,$150m,['May 2007']
MedQuake Ltd.,Swiss Re,Mediterranean earthquake,$100m,['May 2007']
Akibare Ltd.,Mitsui Sumitomo,Japan typhoon,$120m,['May 2007']
Successor II Ltd.,Swiss Re,"U.S. hurricane, European windstorm, California earthquake, Japan earthquake",$100m,['May 2007']
Longpoint Re Ltd.,Travelers,U.S. hurricane,$500m,['May 2007']
Carillon Ltd. (Series 2),Munich Re,U.S. hurricane,$150m,['May 2007']
East Lane Re Ltd.,Chubb Group,U.S. hurricane,$250m,['Apr 2007']
Ajax Re Ltd.,Aspen Insurance,California earthquake,$100m,['Apr 2007']
Blue Wings Ltd.,Allianz Global Corporate Speciality,"U.S. earthquake, UK flood",$150m,['Apr 2007']
Australis Ltd. (Series 2),Swiss Re,"Australia cyclone, Australia earthquake",$50m,['Mar 2007']
Vita Capital III Ltd.,Swiss Re,Extreme mortality,$705m,['Jan 2007']
Calabash Re II Ltd.,ACE American Insurance Co.,"U.S. hurricane, U.S. earthquake",$250m,['Jan 2007']
Redwood Capital IX Ltd.,Swiss Re,California earthquake,$300m,['Dec 2006']
Atlas Reinsurance III plc,SCOR,"Japan earthquake, European windstorm",$159m,['Dec 2006']
Lakeside Re Ltd.,Zurich American Insurance Corporation,California earthquake,$190m,['Dec 2006']
Successor Euro Wind Ltd. (Series 3),Swiss Re,European windstorm,$133m,['Dec 2006']
Successor Hurricane Industry Ltd. (Series 4 and Series 5),Swiss Re,U.S. hurricane,$30m,['Dec 2006']
Successor I Ltd.,Swiss Re,"U.S. hurricane, European windstorm, California earthquake, Japan earthquake",$28.5m,['Dec 2006']
Mystic Re Ltd. (Series 2006-2),Liberty Mutual,U.S. hurricane,$325m,['Nov 2006']
Foundation Re II Ltd. (Series 2006-1),Hartford Fire Insurance Co.,"U.S. hurricane, U.S. earthquake, U.S. severe thunderstorm",$247.5m,['Nov 2006']
Bay Haven Ltd.,Catlin,Multi peril,$200.25m,['Sep 2006']
Cascadia II Ltd.,FM Global,U.S. earthquake,$300m,['Aug 2006']
Successor Hurricane Industry Ltd. (Series 3),Swiss Re,U.S. hurricane,$50m,['Aug 2006']
Fhu-jin Ltd.,Tokio Marine & Fire,Japan typhoon,$200m,['Aug 2006']
Shackleton Re Ltd.,Endurance Speciality,"U.S. hurricane, U.S. earthquake",$235m,['Aug 2006']
Eurus Ltd.,Hannover Re,European windstorm,$150m,['Jul 2006']
DREWCAT Capital Ltd.,Dominion Resources,U.S. hurricane,$50m,['Jun 2006']
VASCO Re 2006 Ltd.,Balboa Insurance,U.S. hurricane,$50m,"['Jun 2006', ' ']"
Carillon Ltd.,Munich Re,U.S. hurricane,$84.5m,['Jun 2006']
Successor,Swiss Re,"U.S. hurricane, U.S. earthquake, Japan earthquake, European windstorm",$950m,['Jun 2006']
Mystic Re Ltd. (Series 2006-1),Liberty Mutual,U.S. hurricane,$200m,['Jun 2006']
Residential Reinsurance 2006 Ltd.,USAA,"U.S. hurricane, U.S. earthquake",$117.5m,['May 2006']
Calabash Re Ltd.,ACE American Insurance Co.,U.S. hurricane,$100m,['May 2006']
CAT-Mex Ltd.,FONDEN,Mexico earthquake,$160m,['May 2006']
Foundation Re Ltd. (Series 2006-1),Hartford Fire Insurance Co.,"U.S. hurricane, U.S. earthquake",$105m,['Feb 2006']
Redwood Capital VIII Ltd.,Swiss Re,California earthquake,$65m,['Feb 2006']
Redwood Capital VII Ltd.,Swiss Re,California earthquake,$160m,['Feb 2006']
Australis Ltd,Swiss Re,"Australia cyclone, Australia earthquake",$100m,['Feb 2006']
Champlain Ltd.,Montpelier Re,"U.S. hurricane, U.S. earthquake, Japan earthquake",$90m,['Dec 2005']
Atlantic & Western Re II Ltd.,PXRE,"U.S. hurricane, U.S. earthquake, European windstorm",$250m,['Dec 2005']
Arbor I Ltd. (Series 10),Swiss Re,"U.S. hurricane, European windstorm, California earthquake, Japan earthquake",$18m,['Dec 2005']
Aiolos Ltd.,Munich Re,European windstorm,$128.7m,['Nov 2005']
Atlantic & Western Re Ltd.,PXRE,"U.S. hurricane, U.S. earthquake, European windstorm",$300m,['Oct 2005']
Kamp Re 2005 Ltd.,Zurich American Insurance Corporation,"U.S. hurricane, U.S. earthquake",$190m,['Aug 2005']
Avalon Re Ltd.,Oil Casualty Insurance Ltd.,Casualty losses,$405m,['Jul 2005']
Arbor I Ltd. (Series 9),Swiss Re,"U.S. hurricane, European windstorm, California earthquake, Japan earthquake",$25m,['Jun 2005']
Residential Reinsurance 2005 Ltd.,USAA,"U.S. hurricane, U.S. earthquake",$176m,['Jun 2005']
Cascadia Ltd.,FM Global,U.S. earthquake,$300m,['Jun 2005']
Vita Capital II Ltd.,Swiss Re,Extreme mortality,$362m,['Apr 2005']
Arbor I Ltd. (Series 8),Swiss Re,"U.S. hurricane, European windstorm, California earthquake, Japan earthquake",$20m,['Mar 2005']
Redwood Capital VI Ltd.,Swiss Re,California earthquake risks,$150m,['Dec 2004']
Redwood Capital V Ltd.,Swiss Re,California earthquake risks,$150m,['Dec 2004']
Arbor I Ltd. (Series 7),Swiss Re,"U.S. hurricane, European windstorm, California earthquake, Japan earthquake",$15m,['Dec 2004']
Foundation Re Ltd.,Hartford Fire Insurance Co.,"U.S. hurricane, U.S. earthquake",$247.5m,['Nov 2004']
Arbor I Ltd. (Series 6),Swiss Re,"U.S. hurricane, European windstorm, California earthquake, Japan earthquake",$31.8m,['Sep 2004']
Sequoia Capital Ltd. (Series 3),Swiss Re,U.S. earthquake,$11m,['Sep 2004']
Oak Capital Ltd. (Series 3),Swiss Re,European windstorm,$10.5m,['Sep 2004']
GI Capital Ltd.,Swiss Re,Japan earthquake,$125m,['Jun 2004']
Arbor I Ltd. (Series 5),Swiss Re,"U.S. hurricane, European windstorm, California earthquake, Japan earthquake",$18m,['Jun 2004']
Helix ’04 Ltd.,Converium,"U.S. hurricane, U.S. earthquake, European windstorm, Japan earthquake",$100m,['Jun 2004']
Residential Reinsurance 2004 Ltd.,USAA,"U.S. hurricane, U.S. earthquake",$227.5m,['May 2004']
Arbor I Ltd. (Series 4),Swiss Re,"U.S. hurricane, European windstorm, California earthquake, Japan earthquake",$21m,['Mar 2004']
Sequoia Capital Ltd. (Series 2),Swiss Re,U.S earthquake,$11.5m,['Mar 2004']
Oak Capital Ltd. (Series 2),Swiss Re,European windstorm,$24m,['Mar 2004']
Vita Capital Ltd.,Swiss Re,Extreme mortality,$400m,['Dec 2003']
Redwood Capital IV Ltd.,Swiss Re,California earthquake risks,$200m,['Dec 2003']
Redwood Capital III Ltd.,Swiss Re,California earthquake risks,$150m,['Dec 2003']
Pylon Ltd.,Electricité de France (EDF),European windstorm,$228m,['Dec 2003']
Arbor I Ltd. (Series 3),Swiss Re,"U.S. hurricanes, European windstorms, California earthquakes and Japanese earthquakes",$9m,['Dec 2003']
Palm Capital Ltd. (Series 2),Swiss Re,U.S. hurricane,$19m,['Dec 2003']
Arbor I Ltd. (Series 2),Swiss Re,"U.S. hurricane, European windstorm, California earthquake, Japan earthquake",$60m,['Sep 2003']
Golden Goal Finance Ltd.,FIFA,Event cancellation risk,$262m,['Sep 2003']
Formosa Re Ltd.,Taiwan Residential Earthquake Insurance Pool,Taiwan earthquake,$100m,['Aug 2003']
Sakura Capital Ltd.,Swiss Re,Japan earthquake,$15m,['Aug 2003']
Sequoia Capital Ltd.,Swiss Re,California earthquake risks,$23m,['Aug 2003']
Oak Capital Ltd.,Swiss Re,European windstorm,$24m,['Aug 2003']
Palm Capital Ltd.,Swiss Re,U.S. hurricane,$22m,['Aug 2003']
Arbor II Ltd.,Swiss Re,"U.S. hurricane, European windstorm, California earthquake, Japan earthquake",$27m,['Aug 2003']
Arbor I Ltd.,Swiss Re,"U.S. hurricanes, European windstorms, California earthquakes and Japanese earthquakes",$95m,['Aug 2003']
Phoenix Quake Wind II Ltd.,Zenkyoren,Japan earthquake & typhoon,$192.5m,['Jun 2003']
Phoenix Quake Wind Ltd.,Zenkyoren,Japan earthquake & typhoon,$85m,['Jun 2003']
Phoenix Quake Ltd.,Zenkyoren,Japan earthquake,$192.5m,['Jun 2003']
Residential Reinsurance 2003 Ltd.,USAA,"U.S. hurricane, U.S. earthquake",$160m,['Jun 2003']
Studio Re Ltd.,Vivendi Universal SA,California earthquake risks,$175m,['Dec 2002']
PIONEER 2002 Ltd.,Swiss Re,"U.S. hurricanes, European windstorms, California earthquakes, Central U.S. earthquakes and Japanese earthquakes",$255m,['Jun 2002']
Residential Reinsurance 2002 Ltd.,USAA,U.S. hurricane,$125m,['May 2002']
Fujiyama Ltd.,Nissay Dowa General Insurance Co.,Japan earthquake,$70m,['May 2002']
Horizon,SCOR,Credit reinsurance,$113m,['Apr 2002']
St Agatha Re Ltd.,Hiscox (Lloyd's Syndicate 33),U.S. earthquake risks,$33m,['Apr 2002']
Redwood Capital II Ltd.,Lehman Re,California earthquake risks,$200m,['Mar 2002']
K3 securitization,Hannover Re,"U.S. hurricane, U.S. earthquake, European windstorm, Japan earthquake",$230m,['Mar 2002']
Redwood Capital I Ltd.,Lehman Re,California earthquake risks,$165m,['Dec 2001']
Atlas Reinsurance II plc,SCOR,"European windstorm, Japan & California earthquake",$150m,['Dec 2001']
Trinom Ltd.,Zurich Insurance Company,"U.S. hurricane, U.S. earthquake, European windstorm",$161.9m,['Jun 2001']
Residential Reinsurance 2001 Ltd.,USAA,U.S. hurricane,$150m,['Jun 2001']
SR Wind Ltd.,Swiss Re,"U.S. hurricane, European windstorm",$116.4m,['May 2001']
Halyard Re 2001,Sorema,"Japan typhoon, European windstorm, Japan earthquake",$17m,['Apr 2001']
Gold Eagle Capital 2001 Ltd.,American Re,"U.S. hurricane, U.S. earthquake",$120m,['Mar 2001']
Western Capital Ltd.,California Earthquake Authority,California earthquake risks,$100m,['Feb 2001']
PRIME Capital Hurricane Ltd.,Munich Re,U.S. hurricane,$165m,['Jan 2001']
PRIME Capital CalQuake & Euro Wind Ltd.,Munich Re,"U.S. earthquake, European windstorm",$135m,['Jan 2001']
L4 – Securitization,Hannover Re,Life reinsurance,$175m,['Dec 2000']
Mediterranean Re plc,AGF,European windstorm & earthquake,$129m,['Nov 2000']
L3 – Securitization,Hannover Re,Life reinsurance,$43m,['Nov 2000']
NeHi Inc.,Vesta Fire Insurance Corporation,U.S. hurricane,$50m,['Jul 2000']
Residential Reinsurance 2000 Ltd.,USAA,U.S. hurricane,$200m,['Jun 2000']
Alpha Wind 2000-A Ltd.,State Farm,Florida hurricanes,$90m,['May 2000']
Halyard Re 2000,Sorema,"Japan typhoon, European windstorm, Japan earthquake",$17m,['Apr 2000']
Atlas Reinsurance plc,SCOR,European windstorm. California or Japan earthquake,$200m,['Mar 2000']
Seismic Ltd.,Lehman Re,California earthquake risks,$150m,['Mar 2000']
Namazu Re Ltd.,Gerling Global Re,Japan earthquake,$100m,['Nov 1999']
Gold Eagle Capital Ltd.,American Re,"U.S. hurricane, U.S. earthquake",$183m,['Nov 1999']
Kelvin Ltd.,"Koch Energy Trading, Inc.",Temperature risks,$50m,['Nov 1999']
Juno Re Ltd.,Gerling Global Ruck. AGSPV,U.S. hurricane risks,$80m,['Jul 1999']
L2 – Securitization,Hannover Re,Life reinsurance,$133m,['Jul 1999']
Residential Reinsurance Ltd. (1999),USAA,U.S. hurricane risks,$200m,['Jun 1999']
Halyard Re,Sorema,"Japan typhoon, European windstorm, Japan earthquake",$17m,['May 1999']
Concentric Ltd.,Oriental Land Co. (Disneyland Tokyo),"Tokyo, Japan earthquakes",$100m,['Apr 1999']
Domestic Inc.,Kemper,U.S. earthquake risks,$100m,['Mar 1999']
Mosaic Re II Ltd.,U.S. Fidelity & Guaranty Company,"U.S. hurricane, U.S. earthquake",$45m,['Feb 1999']
Trinity Re 1999 Ltd.,Centre Solutions (Bermuda),Florida hurricanes,$56.6m,['Dec 1998']
Gemini Re,Allianz,German windstorm & hail losses,$150m,['Dec 1998']
Constitution Re swap,Constitution Re,U.S. hurricane risks,$10m,['Aug 1998']
XL Mid-Ocean Re swap,XL Mid-Ocean Re,"U.S. hurricane, U.S. earthquake, Caribbean hurricane & earthquake",$200m,['Aug 1998']
Mosaic Re Ltd.,U.S. Fidelity & Guaranty Company,"U.S. hurricane, U.S. earthquake",$45m,['Jul 1998']
Pacific Re,Yasuda Fire & Marine,Japan typhoon,$80m,['Jul 1998']
HF Re,CNA,U.S. hurricanes and California earthquakes,$115m,['Jun 1998']
Residential Reinsurance Ltd. (1998),USAA,U.S. hurricane risks,$450m,['Jun 1998']
L1 – Securitization,Hannover Re,Life reinsurance,$54m,['Apr 1998']
Mitsui Marine & Fire Event-linked Swap,Mitsui Marine & Fire,"Tokyo, Japan earthquakes",$30m,['Apr 1998']
Trinity Re Ltd.,Centre Solutions (Bermuda),Florida hurricanes,$83.5m,['Mar 1998']
Parametric Re Ltd.,Tokio Marine & Nichido Fire Insurance,"Tokyo, Japan earthquakes",$100m,['Nov 1997']
"SR Earthquake Fund, Ltd.",Swiss Re,California earthquake risks,$137m,['Jul 1997']
Residential Reinsurance Ltd.,USAA,U.S. hurricane,$480m,['Jun 1997']
George Town Re Ltd.,St Paul Re,Worldwide all risks,$68.5m,['Dec 1996']
